前台工作量评估	python中台工作量评估	CREO后台工作量评估	ZW后台工作量评估	小计
0	1	1	1	3
0	1	1	1	3
0	1	1	1	3
0	1	1	1	3
0	1	1	1	3
0	1	2	2	5
0	2	1	1	4
0	2	1	1	4
0	2	1	1	4
0	1	1	1	3
0	1	1	1	3
0	1	1	1	3
0	1	1	1	3
0	1	1	1	3
0	1	1	1	3
0	1	2	2	5
0	1	2	2	5
0	1	1	1	3
0	1	1	1	3
0	1	2	2	5
0	1	1	1	3
0	2	1	1	4
0				0
0				0
0	1	1	1	3
0	1	1	1	3
0	2	1	1	4
0				0
0				0
0				0
0	1	1	1	3
0	1	1	1	3
0	1	1	1	3
0	1	1	1	3
0	1	1	1	3
0	1	1	1	3
0	1	1	1	3
0	1	1	1	3
0	1	1	1	3
25	0	8	8	41
				0
				0
				0
				0
				0
8	0	6	6	20
8	0	10	10	28
15	0	8	8	31
				0
				0
3	0	5	5	13
3	0	10	10	23
7	5	0	0	12
5	5	0	0	10
12	0	3	3	18
5	5	0	0	10
5	0	6	6	17
5	0	10	10	25
5	0	10	10	25
5	0	10	10	25
5	0	8	8	21
5	0	8	8	21
5	0	8	8	21
5	0	8	8	21
5	0	8	8	21
5	0	5	5	15
5	0	5	5	15
1	0	5	5	11
0.5	0	0.5	0.5	1.5
2	0	4	4	10
1	0	1	1	3
25	0	25	25	75
25	0	20	20	65
0	0	0	0	0
				100
				100
				50
				10
				
				3822
